code,product_name,brands,categories_en,countries_en,nutriscore_grade,nutriscore_score,nova_group,energy_kcal_100g,fat_100g,saturated_fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,carbohydrates_100g,ingredients_text,additives_n,labels_en,sat_fat_ratio,protein_density,sugar_density,has_additives,n_ingredients,has_added_sugar,has_palm_oil,claims_healthy,health_claim,actually_unhealthy,is_DE,grade_upper,is_health_marketed
26283517,Dairy dream greek style yogurt,Aldi,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts,Greek-style yogurts",Australia,c,8.0,4.0,138.0,6.9,4.4,15.4,0.0,3.2,0.028,0.0112,15.8,"Milk, Sugar, cream (From Milk), Water, Milk Solids, Thickener (1442), Natural Flavour, Flavour, Stabiliser (410), Live Yogurt Cultures (Lactobacillus bulgaricus and Streptococcus thermophilus), Vanilla Bean (0.02%), Acidity Regulators (331 , 330). CONTAINS MILK. Keep refrigerated. Store below 4 ocs Once opened, consume within 5 days. DAIRY DREAM9 is a registered trademark of ALDI Stores. ALDI guarantees that our exclusive brand products are developed to our stringent qualjty specifications. If you are not entirely satisfied With this product, please return itto your nearest ALDI store for a full refund or replacement. ALDI STORES, 1 SARGENTS ROAD MINCHINBURY NSW 2770 www.aldi.com.au",4.0,Contains milk,0.6376811594202899,0.0231884057971014,0.1115942028985507,1,16,1,0,0,,0,0,C,Other
4088700000083,Kids Strawberry Yoghurt,Brooklea,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts",Australia,c,5.0,,93.21223709369,6.36363636363636,4.27272727272727,4.0,0.909090909090909,3.54545454545455,0.0886363636363636,0.0354545454545455,4.81818181818182,,0.0,,0.6714285714285714,0.0380363636363637,0.0429128205128206,0,1,0,0,0,,0,0,C,Other
4088700000922,,,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts",Australia,c,5.0,,103.0,7.0,4.7,4.4,0.6,3.7,0.039,0.0156,5.6,,0.0,"Australian made,No added sugar",0.6714285714285715,0.0359223300970873,0.0427184466019417,0,1,0,0,0,,0,0,C,Other
4088700001325,Gluten Free Chocolate Chip Biscuit,Belmont,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits",Australia,e,28.0,4.0,513.862332695984,26.0,18.0,36.5,0.0,4.5,0.5,0.2,65.5,"dark chocolate chips (19%) [sugar, cocoa mass, cocoa butter, emulsifier (322 from soy), natural flavour], butter (from milk), sugar, rice flour, thickener (1412), corn starch, desiccated coconut [contains preservative (223)], brown sugar, chickpea flour, soy flour, raising agents (500, 450), emulsifier (322 from soy), natural flavour, egg powder, thickeners (415, 412, 464), lodised salt, dark chocolate chips contain 50% cocoa solids min mum gluten free chocolate chip cookies contain 9% coco sos minimum contains milk , egg, soy andulphites,",7.0,No gluten,0.6923076923076923,0.0087572093023255,0.0710306976744186,1,27,1,0,0,,1,1,E,Other
4088700009185,Kids Strawberry Yogurt,Brooklea,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts,Cow milk yogurts",Australia,c,5.0,4.0,93.0,6.4,4.3,4.0,0.9,3.5,0.0875,0.035,4.8,"Milk, Cream (From Milk), Milk Solids, developed to our stringent Water, Strawberry Pulp (4.2%), Rice Starch, Natural Flavours, Lemon Pulp, Live Yogurt Cultures CONTAINS MILK. Cap may be a choking hazard and should be kept out of reach of small children at all times. Keep refrigerated. Store below 4°C. Best Before o If you are not entirely satisf return it to your nearest AL replacement. ALDI STORES 1 SARGENT MINCHINBURY NSW 2770 www.aldi.com.au 04-NOV-19 01:36 Gl",0.0,No added sugar,0.6718749999999999,0.0376344086021505,0.043010752688172,0,9,0,0,0,,0,0,C,Other
4088700011638,Gourmet Pasta Sauce Romana,Specially Selected,"Condiments,Sauces,Pasta sauces,Groceries",Australia,c,3.0,4.0,100.8,6.3000001907349,2.0,6.1999998092651,0.0,3.4000000953674,0.66000002622604,0.264000010490416,6.9000000953674,"Chopped Tomatoes (57%) [Tomatoes (99.9%), Acidity Regulator (330)], Tomato Paste, Ricotta (7.5%) [Whey (From Milk), Salt, Acidity Regulator (330)), Olive Oil Grana Padano Cheese D.O.P (2%) [Milk, Salt, Enzymes (Rennet, Lysozyme From Egg), Onions, Pecorino Romano Cheese D.O.P (1.5%) [Milk, Enzymes (Rennet), Milk Ferments, Salt), Salt, Sugar, Cashews, Basil (1%), Natural Flavour, Acidity Regulator (270)",2.0,,0.3174603078490857,0.0337301596762638,0.0615079346157252,1,21,1,0,0,,0,0,C,Other
4088700012345,Crowd Pleaser Sour Cream & Chives,Simple,"Meals,Pasta dishes,Instant pasta",Australia,c,7.0,4.0,397.015083917569,0.555555555555556,0.208333333333333,1.38888888888889,0.0,2.70833333333333,1.63020833333333,0.202083333333333,14.9305555555556,"Pasta (80%) (Durum Wheat Semolina), Whey Powder (Milk), Wheat Starch, Maltodextrin, Sour Cream Powder (2.4%) (Includes Milk, Acidity Regulators (270, 330)), Salt, Emulsifier (450), Hydrolysed Vegetable Protein, Dried Chives (1%), Onion Powder, Soy Sauce Powder (Soy), Flavour Enhancer (Disodium Guanylate, Disodium Inosinate) (627, 631), Spice, Yeast Extract, Rice Bran Oil",5.0,No preservatives,0.3749999999999991,0.0068217391304347,0.0034983277591973,1,19,0,0,0,,0,0,C,Other
4088700012369,Macaroni & Cheese,Simplee,"Meals,Pasta dishes",Australia,b,2.0,,356.25,0.45112781954887,0.22556390977444,1.0526315789474,0.0,2.6315789473684,0.59022556390977,0.236090225563908,18.270676691729,,0.0,No preservatives,0.5000000000000111,0.0073868882733148,0.002954755309326,0,1,0,0,0,,0,0,B,Other
4088700012383,Alfredo Pasta Sauce,SIMPLEE,"Condiments,Sauces,Alfredo sauces",Australia,e,23.0,,358.0,1.9,0.6,8.8,0.0,12.7,2195.0,878.0,70.1,,0.0,"Australian made,Health Star Rating,Health Star Rating 3.5",0.3157894736842105,0.0354748603351955,0.0245810055865921,0,1,0,0,0,,1,1,E,Other
4088700013083,Gourmet Almond & Pistachio Soft Nougat,Aldi,"Snacks,Sweet snacks,Confectioneries",Australia,e,19.0,4.0,450.0,16.0,2.6,39.0,3.064125,9.0,0.425,0.17,66.8,"sugar, glucose syrup, roasted almond (18%), roasted pistachio (12%), milk solids, rice flour, salt, egg white powder, edible wafer paper (potato starch, water, sunflower oil), natural vanilla flavour, processing aid (soy), contains almond, pistachio, egg, milk, soy, may contain cashew, hazelnut, macadamia, pecan, peanut, sesame, although every effort has been made to remove shell fragments, some shell fragments may remain,  cura aldi develo not en your n aldi s minch",0.0,,0.1625,0.02,0.0866666666666666,0,27,1,0,0,,1,1,E,Other
4088700018392,FIG & PUMPKIN SEED SPECIALTY CRACKERS,DAMORA,"Snacks,Salty snacks,Appetizers,Biscuits and crackers,Crackers (Appetizers)",Australia,d,17.0,3.0,438.177182919056,13.3333333333333,2.0,26.0,7.33333333333333,11.3333333333333,1.78333333333333,0.713333333333333,64.6666666666667,"Wheat Flour, Linseeds (14%), Raw Sugar, Dried Figs [Figs, Rice Flour], Pumpkin Seeds, Honey, Greek Style Yoghurt [Pasteurised Milk, Cream (From Milk), Cultures], Raising Agent (500), Salt. Includes 8% Figs And 8% Pumpkin Seeds. CONTAINS WHEAT (GLUTEN) AND MILK. MAY CONTAIN SESAME SEEDS AND TREE NUTS",1.0,"No preservatives,Health Star Rating,Health Star Rating 2.5",0.1500000000000003,0.0258647272727272,0.0593367272727273,1,12,1,0,0,,1,1,D,Other
